dataset,model,n,k,mean_at_k,pass_at_k,maj_at_k,status,path
aime24,eopd_217_qwen3_4b_eopd_teacher_qwen3_4b_non_thinking_rl_math_save_step_50_global_step_110_8k_n8,30,8,0.375,0.6333333333333333,0.6333333333333333,ok,/workspace/opd1/baseline_runs/20260611T121015Z/eopd/eval_outputs/aime24/eopd_217_qwen3_4b_eopd_teacher_qwen3_4b_non_thinking_rl_math_save_step_50_global_step_110_8k_n8.jsonl
aime25,eopd_217_qwen3_4b_eopd_teacher_qwen3_4b_non_thinking_rl_math_save_step_50_global_step_110_8k_n8,30,8,0.31666666666666665,0.4,0.4,ok,/workspace/opd1/baseline_runs/20260611T121015Z/eopd/eval_outputs/aime25/eopd_217_qwen3_4b_eopd_teacher_qwen3_4b_non_thinking_rl_math_save_step_50_global_step_110_8k_n8.jsonl
aime26,eopd_217_qwen3_4b_eopd_teacher_qwen3_4b_non_thinking_rl_math_save_step_50_global_step_110_8k_n8,30,8,0.2916666666666667,0.4666666666666667,0.4666666666666667,ok,/workspace/opd1/baseline_runs/20260611T121015Z/eopd/eval_outputs/aime26/eopd_217_qwen3_4b_eopd_teacher_qwen3_4b_non_thinking_rl_math_save_step_50_global_step_110_8k_n8.jsonl
amc23,eopd_217_qwen3_4b_eopd_teacher_qwen3_4b_non_thinking_rl_math_save_step_50_global_step_110_8k_n8,40,8,0.825,0.925,0.925,ok,/workspace/opd1/baseline_runs/20260611T121015Z/eopd/eval_outputs/amc23/eopd_217_qwen3_4b_eopd_teacher_qwen3_4b_non_thinking_rl_math_save_step_50_global_step_110_8k_n8.jsonl
hmmt26,eopd_217_qwen3_4b_eopd_teacher_qwen3_4b_non_thinking_rl_math_save_step_50_global_step_110_8k_n8,33,8,0.21212121212121213,0.2727272727272727,0.2727272727272727,ok,/workspace/opd1/baseline_runs/20260611T121015Z/eopd/eval_outputs/hmmt26/eopd_217_qwen3_4b_eopd_teacher_qwen3_4b_non_thinking_rl_math_save_step_50_global_step_110_8k_n8.jsonl
math500,eopd_217_qwen3_4b_eopd_teacher_qwen3_4b_non_thinking_rl_math_save_step_50_global_step_110_8k_n8,500,8,0.89975,0.952,0.938,ok,/workspace/opd1/baseline_runs/20260611T121015Z/eopd/eval_outputs/math500/eopd_217_qwen3_4b_eopd_teacher_qwen3_4b_non_thinking_rl_math_save_step_50_global_step_110_8k_n8.jsonl
aime24,qwen3_4b_ta_opd_teachability_ratio0.1_k16_seed42_teacher_qwen3_4b_non_thinking_rl_math_save_step_50_global_step_110_8k_n8,30,8,0.39166666666666666,0.6666666666666666,0.6333333333333333,ok,/workspace/opd1/baseline_runs/20260611T121015Z/ta_opd/eval_outputs/aime24/qwen3_4b_ta_opd_teachability_ratio0.1_k16_seed42_teacher_qwen3_4b_non_thinking_rl_math_save_step_50_global_step_110_8k_n8.jsonl
aime25,qwen3_4b_ta_opd_teachability_ratio0.1_k16_seed42_teacher_qwen3_4b_non_thinking_rl_math_save_step_50_global_step_110_8k_n8,30,8,0.3375,0.5333333333333333,0.5333333333333333,ok,/workspace/opd1/baseline_runs/20260611T121015Z/ta_opd/eval_outputs/aime25/qwen3_4b_ta_opd_teachability_ratio0.1_k16_seed42_teacher_qwen3_4b_non_thinking_rl_math_save_step_50_global_step_110_8k_n8.jsonl
aime26,qwen3_4b_ta_opd_teachability_ratio0.1_k16_seed42_teacher_qwen3_4b_non_thinking_rl_math_save_step_50_global_step_110_8k_n8,30,8,0.3458333333333333,0.43333333333333335,0.43333333333333335,ok,/workspace/opd1/baseline_runs/20260611T121015Z/ta_opd/eval_outputs/aime26/qwen3_4b_ta_opd_teachability_ratio0.1_k16_seed42_teacher_qwen3_4b_non_thinking_rl_math_save_step_50_global_step_110_8k_n8.jsonl
amc23,qwen3_4b_ta_opd_teachability_ratio0.1_k16_seed42_teacher_qwen3_4b_non_thinking_rl_math_save_step_50_global_step_110_8k_n8,40,8,0.796875,0.9,0.9,ok,/workspace/opd1/baseline_runs/20260611T121015Z/ta_opd/eval_outputs/amc23/qwen3_4b_ta_opd_teachability_ratio0.1_k16_seed42_teacher_qwen3_4b_non_thinking_rl_math_save_step_50_global_step_110_8k_n8.jsonl
hmmt26,qwen3_4b_ta_opd_teachability_ratio0.1_k16_seed42_teacher_qwen3_4b_non_thinking_rl_math_save_step_50_global_step_110_8k_n8,33,8,0.22727272727272727,0.2727272727272727,0.2727272727272727,ok,/workspace/opd1/baseline_runs/20260611T121015Z/ta_opd/eval_outputs/hmmt26/qwen3_4b_ta_opd_teachability_ratio0.1_k16_seed42_teacher_qwen3_4b_non_thinking_rl_math_save_step_50_global_step_110_8k_n8.jsonl
math500,qwen3_4b_ta_opd_teachability_ratio0.1_k16_seed42_teacher_qwen3_4b_non_thinking_rl_math_save_step_50_global_step_110_8k_n8,500,8,0.8995,0.952,0.944,ok,/workspace/opd1/baseline_runs/20260611T121015Z/ta_opd/eval_outputs/math500/qwen3_4b_ta_opd_teachability_ratio0.1_k16_seed42_teacher_qwen3_4b_non_thinking_rl_math_save_step_50_global_step_110_8k_n8.jsonl
aime24,146_qwen3_4b_teacher_qwen3_4b_single_teacher_exopd_lambda_1p25_save_step_50_global_step_110_8k_n8,30,8,0.30833333333333335,0.5333333333333333,0.5333333333333333,ok,/workspace/opd1/baseline_runs/20260611T121015Z/single_teacher_exopd/eval_outputs/aime24/146_qwen3_4b_teacher_qwen3_4b_single_teacher_exopd_lambda_1p25_save_step_50_global_step_110_8k_n8.jsonl
aime25,146_qwen3_4b_teacher_qwen3_4b_single_teacher_exopd_lambda_1p25_save_step_50_global_step_110_8k_n8,30,8,0.2833333333333333,0.36666666666666664,0.36666666666666664,ok,/workspace/opd1/baseline_runs/20260611T121015Z/single_teacher_exopd/eval_outputs/aime25/146_qwen3_4b_teacher_qwen3_4b_single_teacher_exopd_lambda_1p25_save_step_50_global_step_110_8k_n8.jsonl
